alert_id,ip_address,ip_address_v6,mac_address,report_date,assigned_to,severity,incident_type,description,suggested_solution,recommended_playbook
1,54.216.2.147,2909:61b3:3041:c8c2:2c42:24e6:c7f2:f3d6,61-ED-9D-40-45-D3,9/11/2021,Rick (Lvl 3 Analyst),Critical,Active Threat Hunting,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Get-SentinelAlertsEvidence
2,28.14.22.214,3a09:2985:2794:1b3e:a710:7e39:5534:cece,70-BE-B1-E3-71-56,3/27/2022,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Traffic from known Bad IP),"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Guardicore-ThreatIntel
3,154.7.52.0,eea4:6832:f8d9:8065:73a1:511e:ad53:5162,7E-6A-E6-CE-52-3D,7/9/2021,Summer (Lvl 2 Analyst),Critical,Passive Threat Detection (Maicious URL),Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,IncidentUpdate -Get-SentinelAlertsEvidence
4,142.9.168.97,8714:9fcd:656c:1daf:8e56:1211:3214:5355,96-8B-FA-00-81-5B,10/18/2021,Morty (Lvl 1 Analyst),Mild,Passive Threat Detection (Maicious URL),Fusce consequat. Nulla nisl. Nunc nisl.,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Get-VTURLPositivesComment
5,164.46.229.40,cb2a:a2c2:1ba8:d7df:b4f0:d341:c36b:6477,FC-D8-92-99-D1-79,11/27/2021,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Traffic from known Bad IP),"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.","Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Prompt-User
6,18.84.155.68,716b:5890:2d79:f7cd:70ef:bb4e:6430:4239,54-7E-65-38-4C-CF,2/28/2022,Morty (Lvl 1 Analyst),Mild,Active Threat Hunting,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Restrict-MDEAppExecution
7,100.75.141.10,bb14:9111:2981:3b45:e2e:1844:b1d8:3923,25-55-57-8B-8B-99,12/28/2021,Rick (Lvl 3 Analyst),Medium,Incident Response (Phishing),"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Get-VirusTotalFileInfo
8,126.166.170.106,a891:3bc:8c33:85f6:936:90dd:67ae:a9b,C2-90-2D-48-E8-5F,7/29/2021,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Traffic from known Bad IP),"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,RecordedFuture_Generic_Detection
9,28.250.32.177,7b30:9f60:44d2:3dab:96a4:c6b7:c51f:152f,B0-D0-C7-E0-49-1E,7/12/2021,Summer (Lvl 2 Analyst),Mild,Incident Response (Breach),Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",RecordedFuture_COVID19_Related_Domain_Lure_Detect
10,47.78.2.239,8581:ef9c:4efb:22c7:1153:434d:a736:dc10,CA-7D-C3-3E-E4-E9,3/7/2022,Summer (Lvl 2 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Restrict-MDEDomain
